EventID	TweetID
20000	258404404875644928
20000	258411921034854400
20000	258413334704029696
20000	258427876242780160
20000	258504073966403584
20000	258557295506628608
20000	258574488298471424
20000	258577277158309889
20000	258582654457368577
20000	258600081626914817
20000	258616582174019584
20000	258633690572263424
20000	258636630842294273
20000	258666951465914369
20000	258690456467148800
20000	258708475029385217
20000	258826024882675712
20000	258826473681592320
20000	258855862859362305
20000	258863966363725824
20000	258886259093676032
20000	258903778743447552
20000	258907897688363010
20000	258916475014897664
20000	258917909156470786
20000	258919863836352512
20000	258927170448146432
20000	258934812386156546
20000	258945528707035136
20000	258950813647503360
20000	258953858615738369
20000	258953866954043392
20000	258961169451212802
20000	258962603735412736
20000	258970199582187521
20000	258978474902056960
20000	258980194952552448
20000	258985811100438528
20000	258998884502761473
20000	259001874940829696
20000	259001921258528768
20000	259003020174561280
20000	259004173478162432
20000	259007218807095298
20000	259009227866128385
20000	259015888462831617
20000	259018220495859713
20000	259023718888648705
20000	259028747875917824
20000	259037178422763520
20000	259041675010252803
20000	259047475745280002
20000	259048817922547714
20000	259052177228718080
20000	259062621389606912
20000	259076064045850624
20000	259077494265745408
20000	259088235790225409
20000	259088613483110400
20000	259091910034075648
20000	259099027822485504
20000	259114915946708992
20000	259161736735764480
20000	259164060380196865
20000	259189448393252864
20000	259193781109268480
20000	259196566299103232
20000	259206527792082944
20000	259206527909523458
20000	259206540249161728
20000	259219744031399936
20000	259221220363497473
20000	259221606319132672
20000	259226178198593537
20000	259226383698505729
20000	259247472382189569
20000	259253785141051392
20000	259254615659388928
20000	259255722586562560
20000	259266439284944899
20000	259280951564193792
20000	259280951576784897
20000	259289952293101568
20000	259300614394220544
20000	259315554597355520
20000	259315776878686208
20000	259320101126430720
20000	259348039280517120
20000	259369883287040000
20000	259374153268858880
20000	259390544545976320
20000	259405363160432641
20001	258722991456788480
20001	258848908963364864
20001	258849676390965248
20001	258884061282590722
20001	258968572448088064
20001	259038969596084226
20002	258865665203654656
20002	258865954631610368
20002	258867267473911808
20002	258868269681872896
20002	258868773178703872
20002	258869829845528576
20002	258869838523543553
20002	258869851081285632
20002	258869859394412545
20002	258869926352257024
20002	258870455082053633
20002	258870475889987584
20002	258870639451066368
20002	258870807147728896
20002	258870966795505665
20002	258871977329188865
20002	258872183223373824
20002	258872187203776514
20002	258872225128656896
