46	"Lenovo takes over HP as the biggest PC maker"	"Financial News"
46	"HP and  Lenovo battle for top spot in PC market of  Computerworld"	"Miscellaneous News"
46	"ABOUT LENOVO AND HP"	"Miscellaneous News"
77	"Guan Moye, better known by the pen name Mo Yan, is a Chinese novelist and short story writer."	"Miscellaneous News"
77	"Mo Yan ,China, wins Noble"	"Celebrity and Human Interest News"
77	"Mo Yan of China wins Nobel Prize"	"Miscellaneous News"
77	"Mo Yan winning the Nobel Literature Prize"	"Celebrity and Human Interest News"
83	"Vice Presidential debate between Joe Biden and Paul Ryan"	"Elections"
83	"Biden Vs Ryan VP Debate"	"Elections"
83	"The event is the VP debate."	"Elections"
86	"WAR AMERIA VS IRAN"	"Acts of Violence or War"
86	"iran having nukes"	"Elections"
86	"debate  iran"	"Political and Diplomatic Meetings"
111	"about greek austerity"	"Miscellaneous News"
111	" Greek austerity"	"Miscellaneous News"
111	"Fight brewing in the EU over Greek austerity measures"	"Financial News"
113	"ABOUT MICROSOFT OFFICE 2013"	"Miscellaneous News"
113	"Tweet about Microsoft Office 2013 has reached the RTM"	"Miscellaneous News"
113	"Microsoft Office 2013 reaches release to manufacturing status."	"Miscellaneous News"
113	"Microsoft Office 2013"	"Science and Discovery News"
113	"Microsoft Office 2013"	"Science and Discovery News"
114	"about space shuttle"	"Science and Discovery News"
114	"2 day 12 mile trip of space ship Endeavour to the LA museum"	"Miscellaneous News"
114	"space shuttle"	"Science and Discovery News"
114	"Space Shuttle Endeavour makes a final trip to a Los Angeles museum."	"Miscellaneous News"
116	"about nobel peace prize"	"Miscellaneous News"
116	"European Union wins the Nobel Peace prize."	"Miscellaneous News"
116	"Nobel peace prize"	"Celebrity and Human Interest News"
126	"about theo walcott"	"Sports News"
126	"Tweets about football match in which player walcott is playing."	"Sports News"
126	"It's about Wallcot , about  his game and injury he sustained"	"Sports News"
129	"about craig levein"	"Sports News"
129	"Results of a soccer match being discussed"	"Sports News"
129	"Levein's decision"	"Sports News"
129	"The tweets discuss a sports event."	"Sports News"
131	"tweets are about cardinal baseball team."	"Sports News"
131	"ABOUT THE CARDINALS"	"Sports News"
131	"cardinal's match"	"Sports News"
137	"about the NATITUDE"	"Miscellaneous News"
137	"The Nationals are playing the Cardinals in a football match."	"Sports News"
